2026/01/02 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
132,18:00～19:00,01月01日,22:41,67,59

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
79,18:00～19:00,01月01日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
122,11:00～12:00,01月01日,22:41,63,61

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
75,11:00～12:00,01月01日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/01/01,00:00,67,69,51,130
2026/01/01,01:00,65,67,49,132
2026/01/01,02:00,66,68,50,132
2026/01/01,03:00,68,70,51,132
2026/01/01,04:00,69,70,52,132
2026/01/01,05:00,67,68,50,132
2026/01/01,06:00,64,65,48,132
2026/01/01,07:00,66,66,49,133
2026/01/01,08:00,71,71,53,133
2026/01/01,09:00,73,72,60,121
2026/01/01,10:00,74,72,59,124
2026/01/01,11:00,74,75,60,122
2026/01/01,12:00,75,72,61,123
2026/01/01,13:00,75,74,61,122
2026/01/01,14:00,75,74,58,129
2026/01/01,15:00,74,74,54,135
2026/01/01,16:00,75,74,56,134
2026/01/01,17:00,78,75,58,133
2026/01/01,18:00,80,79,60,132
2026/01/01,19:00,80,79,60,132
2026/01/01,20:00,79,79,60,130
2026/01/01,21:00,76,76,58,130
2026/01/01,22:00,73,73,56,130
2026/01/01,23:00,70,70,53,130

最大使用率(%),時間帯
61,13:00～14:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
132,18:00～19:00,01月02日,00:00,57,63

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
84,18:00～19:00,01月02日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
132,18:00～19:00,01月02日,00:00,57,63

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
84,18:00～19:00,01月02日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/01/01,00:00,70,0
2026/01/01,00:05,69,0
2026/01/01,00:10,69,0
2026/01/01,00:15,69,0
2026/01/01,00:20,69,0
2026/01/01,00:25,68,0
2026/01/01,00:30,68,0
2026/01/01,00:35,68,0
2026/01/01,00:40,67,0
2026/01/01,00:45,67,0
2026/01/01,00:50,67,0
2026/01/01,00:55,67,0
2026/01/01,01:00,66,0
2026/01/01,01:05,66,0
2026/01/01,01:10,66,0
2026/01/01,01:15,66,0
2026/01/01,01:20,66,0
2026/01/01,01:25,66,0
2026/01/01,01:30,66,0
2026/01/01,01:35,66,0
2026/01/01,01:40,66,0
2026/01/01,01:45,66,0
2026/01/01,01:50,66,0
2026/01/01,01:55,66,0
2026/01/01,02:00,66,0
2026/01/01,02:05,66,0
2026/01/01,02:10,66,0
2026/01/01,02:15,66,0
2026/01/01,02:20,66,0
2026/01/01,02:25,66,0
2026/01/01,02:30,66,0
2026/01/01,02:35,67,0
2026/01/01,02:40,67,0
2026/01/01,02:45,67,0
2026/01/01,02:50,67,0
2026/01/01,02:55,68,0
2026/01/01,03:00,68,0
2026/01/01,03:05,68,0
2026/01/01,03:10,68,0
2026/01/01,03:15,68,0
2026/01/01,03:20,69,0
2026/01/01,03:25,69,0
2026/01/01,03:30,69,0
2026/01/01,03:35,69,0
2026/01/01,03:40,69,0
2026/01/01,03:45,69,0
2026/01/01,03:50,69,0
2026/01/01,03:55,69,0
2026/01/01,04:00,70,0
2026/01/01,04:05,70,0
2026/01/01,04:10,70,0
2026/01/01,04:15,70,0
2026/01/01,04:20,69,0
2026/01/01,04:25,69,0
2026/01/01,04:30,69,0
2026/01/01,04:35,69,0
