2026/05/13 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
155,11:00～12:00,05月12日,22:41,46,68

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
106,11:00～12:00,05月12日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
122,21:00～22:00,05月12日,22:41,39,72

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
88,21:00～22:00,05月12日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2026/05/12,00:00,72,73,58,123
2026/05/12,01:00,69,70,56,123
2026/05/12,02:00,70,70,56,123
2026/05/12,03:00,73,73,59,123
2026/05/12,04:00,74,74,60,123
2026/05/12,05:00,74,76,50,147
2026/05/12,06:00,76,79,51,148
2026/05/12,07:00,81,83,54,150
2026/05/12,08:00,90,94,58,153
2026/05/12,09:00,94,100,61,153
2026/05/12,10:00,94,104,61,153
2026/05/12,11:00,94,106,61,154
2026/05/12,12:00,94,100,59,158
2026/05/12,13:00,99,96,60,163
2026/05/12,14:00,97,97,58,166
2026/05/12,15:00,97,99,60,161
2026/05/12,16:00,94,98,61,154
2026/05/12,17:00,92,96,61,149
2026/05/12,18:00,93,93,63,147
2026/05/12,19:00,95,94,65,146
2026/05/12,20:00,93,91,63,146
2026/05/12,21:00,87,88,64,134
2026/05/12,22:00,83,82,68,122
2026/05/12,23:00,78,78,63,122

最大使用率(%),時間帯
68,22:00～23:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
143,14:00～15:00,05月13日,00:00,32,75

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
108,14:00～15:00,05月13日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
143,14:00～15:00,05月13日,00:00,32,75

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
108,14:00～15:00,05月13日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2026/05/12,00:00,76,0
2026/05/12,00:05,76,0
2026/05/12,00:10,76,0
2026/05/12,00:15,75,0
2026/05/12,00:20,75,0
2026/05/12,00:25,74,0
2026/05/12,00:30,74,0
2026/05/12,00:35,74,0
2026/05/12,00:40,73,0
2026/05/12,00:45,73,0
2026/05/12,00:50,73,0
2026/05/12,00:55,72,0
2026/05/12,01:00,72,0
2026/05/12,01:05,72,0
2026/05/12,01:10,72,0
2026/05/12,01:15,72,0
2026/05/12,01:20,71,0
2026/05/12,01:25,71,0
2026/05/12,01:30,71,0
2026/05/12,01:35,71,0
2026/05/12,01:40,71,0
2026/05/12,01:45,70,0
2026/05/12,01:50,70,0
2026/05/12,01:55,70,0
2026/05/12,02:00,71,0
2026/05/12,02:05,71,0
2026/05/12,02:10,71,0
2026/05/12,02:15,71,0
2026/05/12,02:20,71,0
2026/05/12,02:25,71,0
2026/05/12,02:30,71,0
2026/05/12,02:35,72,0
2026/05/12,02:40,72,0
2026/05/12,02:45,73,0
2026/05/12,02:50,73,0
2026/05/12,02:55,73,0
2026/05/12,03:00,73,0
2026/05/12,03:05,73,0
2026/05/12,03:10,74,0
2026/05/12,03:15,74,0
2026/05/12,03:20,74,0
2026/05/12,03:25,75,0
2026/05/12,03:30,75,0
2026/05/12,03:35,75,0
2026/05/12,03:40,75,0
2026/05/12,03:45,75,0
2026/05/12,03:50,75,0
2026/05/12,03:55,75,0
2026/05/12,04:00,75,0
2026/05/12,04:05,75,0
2026/05/12,04:10,75,0
2026/05/12,04:15,75,0
2026/05/12,04:20,75,0
2026/05/12,04:25,75,0
2026/05/12,04:30,75,0
2026/05/12,04:35,76,0
2026/05/12,04:40,76,0
2026/05/12,04:45,76,0
2026/05/12,04:50,76,0
2026/05/12,04:55,76,0
2026/05/12,05:00,76,0
2026/05/12,05:05,76,0
2026/05/12,05:10,76,0
2026/05/12,05:15,77,0
2026/05/12,05:20,76,0
2026/05/12,05:25,76,0
2026/05/12,05:30,76,0
2026/05/12,05:35,76,0
2026/05/12,05:40,76,0
2026/05/12,05:45,76,0
2026/05/12,05:50,75,0
2026/05/12,05:55,75,0
2026/05/12,06:00,75,0
2026/05/12,06:05,76,0
2026/05/12,06:10,76,0
2026/05/12,06:15,76,0
2026/05/12,06:20,76,1
2026/05/12,06:25,76,1
2026/05/12,06:30,77,1
2026/05/12,06:35,77,1
2026/05/12,06:40,78,1
2026/05/12,06:45,78,1
2026/05/12,06:50,79,1
2026/05/12,06:55,80,1
2026/05/12,07:00,80,1
2026/05/12,07:05,81,2
2026/05/12,07:10,81,1
2026/05/12,07:15,81,2
2026/05/12,07:20,82,2
2026/05/12,07:25,82,2
2026/05/12,07:30,82,2
2026/05/12,07:35,84,2
2026/05/12,07:40,84,2
2026/05/12,07:45,84,2
2026/05/12,07:50,84,3
2026/05/12,07:55,85,2
2026/05/12,08:00,86,2
2026/05/12,08:05,87,2
2026/05/12,08:10,88,3
2026/05/12,08:15,88,3
2026/05/12,08:20,89,3
2026/05/12,08:25,90,3
2026/05/12,08:30,90,3
2026/05/12,08:35,91,3
2026/05/12,08:40,92,3
2026/05/12,08:45,92,3
2026/05/12,08:50,93,3
2026/05/12,08:55,94,3
2026/05/12,09:00,95,3
2026/05/12,09:05,94,3
2026/05/12,09:10,95,2
2026/05/12,09:15,95,2
2026/05/12,09:20,96,2
2026/05/12,09:25,96,2
2026/05/12,09:30,96,2
2026/05/12,09:35,96,2
2026/05/12,09:40,96,2
2026/05/12,09:45,96,3
2026/05/12,09:50,96,3
2026/05/12,09:55,96,3
2026/05/12,10:00,97,2
2026/05/12,10:05,97,2
2026/05/12,10:10,97,2
2026/05/12,10:15,96,2
2026/05/12,10:20,96,2
2026/05/12,10:25,96,2
2026/05/12,10:30,96,3
2026/05/12,10:35,97,3
2026/05/12,10:40,97,3
2026/05/12,10:45,96,3
2026/05/12,10:50,96,4
2026/05/12,10:55,95,4
2026/05/12,11:00,95,5
2026/05/12,11:05,97,4
2026/05/12,11:10,97,4
2026/05/12,11:15,97,5
2026/05/12,11:20,96,6
2026/05/12,11:25,96,6
2026/05/12,11:30,96,6
2026/05/12,11:35,97,6
2026/05/12,11:40,97,5
2026/05/12,11:45,97,5
2026/05/12,11:50,96,5
2026/05/12,11:55,95,7
2026/05/12,12:00,95,8
2026/05/12,12:05,96,7
2026/05/12,12:10,96,6
2026/05/12,12:15,96,6
2026/05/12,12:20,95,6
2026/05/12,12:25,94,8
2026/05/12,12:30,94,9
2026/05/12,12:35,101,10
2026/05/12,12:40,99,12
2026/05/12,12:45,96,15
2026/05/12,12:50,94,17
2026/05/12,12:55,93,19
2026/05/12,13:00,94,20
2026/05/12,13:05,100,21
2026/05/12,13:10,100,21
2026/05/12,13:15,101,21
2026/05/12,13:20,101,21
2026/05/12,13:25,100,21
2026/05/12,13:30,100,21
2026/05/12,13:35,98,21
2026/05/12,13:40,98,21
2026/05/12,13:45,100,18
2026/05/12,13:50,101,17
2026/05/12,13:55,101,16
2026/05/12,14:00,103,16
2026/05/12,14:05,98,15
2026/05/12,14:10,99,14
2026/05/12,14:15,99,13
2026/05/12,14:20,99,12
2026/05/12,14:25,99,12
2026/05/12,14:30,100,12
2026/05/12,14:35,98,11
2026/05/12,14:40,98,11
2026/05/12,14:45,98,11
2026/05/12,14:50,98,11
2026/05/12,14:55,98,11
2026/05/12,15:00,97,10
2026/05/12,15:05,96,10
2026/05/12,15:10,97,11
2026/05/12,15:15,97,11
2026/05/12,15:20,97,11
2026/05/12,15:25,98,11
2026/05/12,15:30,99,10
2026/05/12,15:35,97,10
2026/05/12,15:40,97,9
2026/05/12,15:45,97,8
