2025/08/15 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
202,13:00～14:00,08月14日,22:41,33,75

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
152,13:00～14:00,08月14日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
174,19:00～20:00,08月14日,22:41,23,81

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
141,19:00～20:00,08月14日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/08/14,00:00,106,107,70,150
2025/08/14,01:00,101,102,67,150
2025/08/14,02:00,100,100,66,150
2025/08/14,03:00,99,100,66,150
2025/08/14,04:00,98,99,65,150
2025/08/14,05:00,101,101,67,150
2025/08/14,06:00,105,106,64,163
2025/08/14,07:00,116,119,64,180
2025/08/14,08:00,133,133,71,187
2025/08/14,09:00,143,144,74,193
2025/08/14,10:00,148,148,74,198
2025/08/14,11:00,151,151,74,202
2025/08/14,12:00,148,151,72,203
2025/08/14,13:00,150,152,74,202
2025/08/14,14:00,150,151,75,199
2025/08/14,15:00,149,150,76,194
2025/08/14,16:00,148,148,78,188
2025/08/14,17:00,144,144,80,180
2025/08/14,18:00,141,141,80,175
2025/08/14,19:00,140,141,80,174
2025/08/14,20:00,137,138,78,174
2025/08/14,21:00,130,132,74,174
2025/08/14,22:00,122,123,70,174
2025/08/14,23:00,115,114,71,162

最大使用率(%),時間帯
80,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
210,13:00～14:00,08月15日,00:00,40,71

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
150,13:00～14:00,08月15日,00:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
175,08:00～09:00,08月15日,00:00,34,74

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
131,08:00～09:00,08月15日,00:00

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2025/08/14,00:00,112,0
2025/08/14,00:05,111,0
2025/08/14,00:10,110,0
2025/08/14,00:15,110,0
2025/08/14,00:20,109,0
2025/08/14,00:25,108,0
2025/08/14,00:30,108,0
2025/08/14,00:35,107,0
2025/08/14,00:40,107,0
2025/08/14,00:45,106,0
2025/08/14,00:50,106,0
2025/08/14,00:55,105,0
2025/08/14,01:00,105,0
2025/08/14,01:05,104,0
2025/08/14,01:10,104,0
2025/08/14,01:15,104,0
2025/08/14,01:20,103,0
2025/08/14,01:25,103,0
2025/08/14,01:30,102,0
2025/08/14,01:35,102,0
2025/08/14,01:40,102,0
2025/08/14,01:45,101,0
2025/08/14,01:50,101,0
2025/08/14,01:55,101,0
2025/08/14,02:00,101,0
2025/08/14,02:05,101,0
