datetime,temperature,rainfall,solar,wind_speed,weather,humidity
2025-12-25 01:00:00,20.7,0.0,0.0,5.7,2.0,69.0
2025-12-25 02:00:00,20.7,0.0,0.0,5.1,2.0,69.0
2025-12-25 03:00:00,20.6,0.0,0.0,3.3,2.0,71.0
2025-12-25 04:00:00,20.7,0.0,0.0,4.9,4.0,69.0
2025-12-25 05:00:00,21.0,0.0,0.0,5.1,2.0,69.0
2025-12-25 06:00:00,19.0,0.0,0.0,2.0,2.0,79.0
2025-12-25 07:00:00,20.6,0.0,0.0,5.0,4.0,74.0
2025-12-25 08:00:00,20.3,0.0,0.07,5.5,10.0,77.0
2025-12-25 09:00:00,20.6,0.0,0.22,6.7,4.0,73.0
2025-12-25 10:00:00,20.0,0.0,0.5,5.3,10.0,80.0
2025-12-25 11:00:00,19.5,0.0,0.45,6.8,10.0,77.0
2025-12-25 12:00:00,18.2,1.0,0.3,8.4,10.0,87.0
2025-12-25 13:00:00,17.1,1.0,0.39,9.6,10.0,91.0
2025-12-25 14:00:00,16.8,0.0,0.78,11.1,10.0,85.0
2025-12-25 15:00:00,17.2,0.0,0.41,9.2,10.0,81.0
2025-12-25 16:00:00,16.2,0.5,0.24,10.5,10.0,83.0
2025-12-25 17:00:00,16.1,0.5,0.1,10.6,10.0,85.0
2025-12-25 18:00:00,15.9,0.5,0.01,12.6,10.0,83.0
2025-12-25 19:00:00,15.6,3.5,0.0,10.0,10.0,84.0
2025-12-25 20:00:00,16.1,0.0,0.0,11.8,10.0,74.0
2025-12-25 21:00:00,15.9,0.0,0.0,9.4,10.0,76.0
2025-12-25 22:00:00,16.5,0.0,0.0,10.2,10.0,66.0
2025-12-25 23:00:00,17.0,0.0,0.0,9.2,10.0,56.0
2025-12-26 00:00:00,17.0,0.0,0.0,8.3,4.0,57.0
2025-12-26 01:00:00,17.1,0.0,0.0,6.7,4.0,57.0
2025-12-26 02:00:00,16.7,0.0,0.0,8.6,4.0,55.0
2025-12-26 03:00:00,16.6,0.0,0.0,10.0,4.0,55.0
2025-12-26 04:00:00,16.3,0.0,0.0,10.0,4.0,57.0
2025-12-26 05:00:00,16.1,0.0,0.0,8.2,10.0,57.0
2025-12-26 06:00:00,15.9,0.0,0.0,8.0,4.0,59.0
2025-12-26 07:00:00,15.9,0.0,0.0,7.3,4.0,59.0
2025-12-26 08:00:00,15.9,0.0,0.03,7.8,4.0,61.0
2025-12-26 09:00:00,14.9,0.0,0.26,6.7,10.0,65.0
2025-12-26 10:00:00,16.4,0.0,0.49,8.4,4.0,54.0
2025-12-26 11:00:00,16.9,0.0,1.36,6.2,2.0,50.0
2025-12-26 12:00:00,16.1,0.0,0.93,7.9,4.0,58.0
2025-12-26 13:00:00,16.4,0.0,1.7,6.8,2.0,59.0
2025-12-26 14:00:00,14.8,0.0,0.69,4.2,10.0,69.0
2025-12-26 15:00:00,15.8,0.0,0.57,6.9,4.0,60.0
2025-12-26 16:00:00,15.5,0.0,0.4,4.9,4.0,65.0
2025-12-26 17:00:00,15.8,0.0,0.28,6.7,4.0,59.0
2025-12-26 18:00:00,15.9,0.0,0.03,4.7,4.0,56.0
2025-12-26 19:00:00,15.8,0.0,0.0,3.0,4.0,57.0
2025-12-26 20:00:00,15.3,0.0,0.0,5.6,2.0,62.0
2025-12-26 21:00:00,14.6,0.0,0.0,3.7,2.0,68.0
2025-12-26 22:00:00,14.6,0.0,0.0,4.4,4.0,70.0
2025-12-26 23:00:00,13.8,0.0,0.0,2.6,2.0,73.0
2025-12-27 00:00:00,13.6,0.0,0.0,2.6,2.0,73.0
2025-12-27 01:00:00,14.1,0.0,0.0,3.7,2.0,74.0
2025-12-27 02:00:00,14.6,0.0,0.0,3.7,4.0,70.0
2025-12-27 03:00:00,14.8,0.0,0.0,3.2,4.0,68.0
2025-12-27 04:00:00,15.1,0.0,0.0,3.0,4.0,65.0
2025-12-27 05:00:00,15.0,0.0,0.0,2.7,4.0,64.0
2025-12-27 06:00:00,14.8,0.0,0.0,2.3,4.0,65.0
2025-12-27 07:00:00,14.8,0.0,0.0,2.4,4.0,64.0
2025-12-27 08:00:00,15.4,0.0,0.08,2.7,4.0,64.0
2025-12-27 09:00:00,16.4,0.0,0.52,2.8,4.0,64.0
2025-12-27 10:00:00,17.6,0.0,1.39,3.6,2.0,54.0
2025-12-27 11:00:00,18.4,0.0,1.94,2.6,2.0,49.0
2025-12-27 12:00:00,19.1,0.0,2.32,3.1,2.0,49.0
2025-12-27 13:00:00,19.6,0.0,2.39,3.7,2.0,46.0
2025-12-27 14:00:00,19.7,0.0,1.88,3.2,2.0,49.0
2025-12-27 15:00:00,20.1,0.0,1.73,3.3,2.0,51.0
2025-12-27 16:00:00,18.5,0.0,0.72,2.3,2.0,54.0
2025-12-27 17:00:00,18.2,0.0,0.31,2.9,4.0,58.0
2025-12-27 18:00:00,17.8,0.0,0.06,2.4,2.0,60.0
2025-12-27 19:00:00,17.6,0.0,0.0,4.8,10.0,61.0
2025-12-27 20:00:00,17.5,0.0,0.0,3.7,4.0,60.0
2025-12-27 21:00:00,17.4,0.0,0.0,2.5,4.0,60.0
2025-12-27 22:00:00,17.5,0.0,0.0,2.6,4.0,60.0
2025-12-27 23:00:00,17.5,0.0,0.0,3.2,4.0,59.0
2025-12-28 00:00:00,17.5,0.0,0.0,3.7,4.0,59.0
2025-12-28 01:00:00,17.2,0.0,0.0,3.4,10.0,62.0
2025-12-28 02:00:00,17.2,0.0,0.0,3.4,4.0,64.0
2025-12-28 03:00:00,16.9,0.0,0.0,2.3,4.0,64.0
2025-12-28 04:00:00,17.0,0.0,0.0,3.4,4.0,66.0
2025-12-28 05:00:00,16.9,0.0,0.0,3.3,4.0,67.0
2025-12-28 06:00:00,16.9,0.0,0.0,2.9,4.0,68.0
2025-12-28 07:00:00,17.0,0.0,0.0,3.9,4.0,65.0
2025-12-28 08:00:00,17.3,0.0,0.04,3.2,4.0,63.0
2025-12-28 09:00:00,17.7,0.0,0.25,3.2,4.0,60.0
2025-12-28 10:00:00,19.2,0.0,1.0,2.4,4.0,58.0
2025-12-28 11:00:00,20.5,0.0,1.75,3.7,2.0,55.0
2025-12-28 12:00:00,20.4,0.0,1.53,5.0,4.0,57.0
2025-12-28 13:00:00,20.8,0.0,1.75,4.5,4.0,57.0
2025-12-28 14:00:00,20.7,0.0,1.23,4.1,4.0,58.0
2025-12-28 15:00:00,20.4,0.0,0.95,3.9,4.0,57.0
2025-12-28 16:00:00,20.4,0.0,1.07,5.2,4.0,61.0
2025-12-28 17:00:00,20.0,0.0,0.26,4.4,4.0,59.0
2025-12-28 18:00:00,19.8,0.0,0.03,4.7,4.0,65.0
2025-12-28 19:00:00,19.1,0.0,0.0,5.1,4.0,67.0
2025-12-28 20:00:00,19.2,0.0,0.0,5.6,4.0,69.0
2025-12-28 21:00:00,19.6,0.0,0.0,4.2,10.0,65.0
2025-12-28 22:00:00,18.5,0.0,0.0,4.9,10.0,72.0
2025-12-28 23:00:00,17.8,0.5,0.0,2.4,10.0,82.0
2025-12-29 00:00:00,17.5,0.0,0.0,3.7,10.0,90.0
2025-12-29 01:00:00,17.0,0.5,0.0,3.3,10.0,91.0
2025-12-29 02:00:00,17.1,2.0,0.0,3.7,4.0,93.0
