datetime,temperature,rainfall,solar,wind_speed,weather,humidity
2022-01-01 01:00:00,15.6,0.0,0.0,4.2,,60.0
2022-01-01 02:00:00,15.4,0.0,0.0,4.1,,57.0
2022-01-01 03:00:00,15.4,0.0,0.0,3.3,4.0,56.0
2022-01-01 04:00:00,15.2,0.0,0.0,3.8,,56.0
2022-01-01 05:00:00,14.7,0.0,0.0,3.6,,61.0
2022-01-01 06:00:00,14.9,0.0,0.0,3.9,1.0,64.0
2022-01-01 07:00:00,14.5,0.0,0.0,3.0,,65.0
2022-01-01 08:00:00,15.0,0.0,0.09,2.7,,64.0
2022-01-01 09:00:00,16.9,0.0,0.78,3.6,2.0,58.0
2022-01-01 10:00:00,17.3,0.0,0.94,3.0,,56.0
2022-01-01 11:00:00,18.8,0.0,1.56,3.4,,53.0
2022-01-01 12:00:00,19.5,0.0,2.35,4.7,2.0,54.0
2022-01-01 13:00:00,19.2,0.0,1.8,4.1,,53.0
2022-01-01 14:00:00,18.4,0.0,1.21,4.8,,56.0
2022-01-01 15:00:00,18.2,0.0,0.74,4.7,4.0,58.0
2022-01-01 16:00:00,18.0,0.0,0.34,3.8,,59.0
2022-01-01 17:00:00,17.8,0.0,0.17,4.3,,60.0
2022-01-01 18:00:00,17.7,0.0,0.03,4.1,4.0,60.0
2022-01-01 19:00:00,17.7,0.0,0.0,2.7,,60.0
2022-01-01 20:00:00,17.6,0.0,0.0,3.4,,60.0
2022-01-01 21:00:00,17.6,0.0,0.0,1.9,4.0,60.0
2022-01-01 22:00:00,17.5,0.0,0.0,2.2,,61.0
2022-01-01 23:00:00,17.5,0.0,0.0,3.6,,61.0
2022-01-02 00:00:00,17.1,0.0,0.0,2.9,,63.0
2022-01-02 01:00:00,17.2,0.0,0.0,3.2,,62.0
2022-01-02 02:00:00,17.1,0.0,0.0,2.4,,62.0
2022-01-02 03:00:00,17.2,0.0,0.0,2.7,4.0,62.0
2022-01-02 04:00:00,17.1,0.0,0.0,2.6,,63.0
2022-01-02 05:00:00,16.7,0.0,0.0,2.1,,66.0
2022-01-02 06:00:00,16.2,0.0,0.0,1.1,4.0,70.0
2022-01-02 07:00:00,16.5,0.0,0.0,2.1,,71.0
2022-01-02 08:00:00,16.7,0.0,0.03,1.7,,73.0
2022-01-02 09:00:00,17.9,0.0,0.17,1.6,4.0,69.0
2022-01-02 10:00:00,16.9,0.0,0.34,2.9,,84.0
2022-01-02 11:00:00,16.5,0.0,0.44,2.8,,87.0
2022-01-02 12:00:00,17.0,0.0,0.72,2.1,4.0,81.0
2022-01-02 13:00:00,16.9,0.0,1.0,3.0,,83.0
2022-01-02 14:00:00,17.5,0.0,0.92,3.6,,74.0
2022-01-02 15:00:00,17.4,0.0,0.92,2.4,4.0,78.0
2022-01-02 16:00:00,15.9,0.5,0.42,2.8,,93.0
2022-01-02 17:00:00,15.7,1.0,0.15,5.8,,91.0
2022-01-02 18:00:00,15.8,0.0,0.05,5.8,10.0,90.0
2022-01-02 19:00:00,16.1,0.0,0.0,3.8,,87.0
2022-01-02 20:00:00,16.1,0.0,0.0,3.0,,87.0
2022-01-02 21:00:00,16.5,0.0,0.0,3.0,4.0,83.0
2022-01-02 22:00:00,16.7,0.0,0.0,2.8,,81.0
2022-01-02 23:00:00,16.6,0.0,0.0,2.5,,82.0
2022-01-03 00:00:00,17.4,0.0,0.0,2.5,,74.0
2022-01-03 01:00:00,17.2,0.0,0.0,3.0,,75.0
2022-01-03 02:00:00,17.2,0.0,0.0,3.3,,74.0
2022-01-03 03:00:00,16.6,0.0,0.0,3.2,4.0,77.0
2022-01-03 04:00:00,15.8,0.0,0.0,3.3,,80.0
2022-01-03 05:00:00,15.4,0.0,0.0,3.3,,80.0
2022-01-03 06:00:00,15.0,0.0,0.0,2.2,2.0,81.0
2022-01-03 07:00:00,14.7,0.0,0.0,2.2,,83.0
2022-01-03 08:00:00,14.7,0.0,0.09,2.4,,85.0
2022-01-03 09:00:00,18.0,0.0,0.69,1.9,2.0,73.0
2022-01-03 10:00:00,19.5,0.0,1.37,3.8,,68.0
2022-01-03 11:00:00,20.3,0.0,1.91,3.8,,64.0
2022-01-03 12:00:00,20.5,0.0,2.29,3.1,2.0,60.0
2022-01-03 13:00:00,21.1,0.0,2.41,4.3,,62.0
2022-01-03 14:00:00,20.7,0.0,2.3,4.3,,61.0
2022-01-03 15:00:00,20.7,0.0,1.83,4.6,2.0,61.0
2022-01-03 16:00:00,20.2,0.0,1.38,4.5,,62.0
2022-01-03 17:00:00,19.7,0.0,0.75,5.1,,65.0
2022-01-03 18:00:00,19.3,0.0,0.14,4.4,2.0,66.0
2022-01-03 19:00:00,19.0,0.0,0.0,3.7,,67.0
2022-01-03 20:00:00,18.0,0.0,0.0,2.1,,71.0
2022-01-03 21:00:00,17.5,0.0,0.0,2.5,2.0,73.0
2022-01-03 22:00:00,17.4,0.0,0.0,2.7,,73.0
2022-01-03 23:00:00,16.3,0.0,0.0,2.7,,77.0
2022-01-04 00:00:00,16.2,0.0,0.0,1.9,,80.0
2022-01-04 01:00:00,16.3,0.0,0.0,1.6,,81.0
2022-01-04 02:00:00,16.5,0.0,0.0,2.5,,80.0
2022-01-04 03:00:00,15.6,0.0,0.0,1.6,2.0,82.0
2022-01-04 04:00:00,15.8,0.0,0.0,2.7,,82.0
2022-01-04 05:00:00,15.4,0.0,0.0,2.4,,81.0
2022-01-04 06:00:00,16.9,0.0,0.0,3.8,2.0,72.0
2022-01-04 07:00:00,16.4,0.0,0.0,3.3,,73.0
2022-01-04 08:00:00,17.0,0.0,0.1,3.4,,70.0
2022-01-04 09:00:00,18.4,0.0,0.7,3.1,1.0,64.0
2022-01-04 10:00:00,19.7,0.0,1.4,5.4,,56.0
2022-01-04 11:00:00,20.4,0.0,1.95,5.3,,54.0
2022-01-04 12:00:00,20.9,0.0,2.25,5.4,1.0,52.0
2022-01-04 13:00:00,21.1,0.0,2.45,6.4,,53.0
2022-01-04 14:00:00,21.0,0.0,2.38,6.2,,54.0
2022-01-04 15:00:00,20.9,0.0,2.06,5.4,2.0,53.0
2022-01-04 16:00:00,20.1,0.0,1.14,4.7,,57.0
2022-01-04 17:00:00,20.0,0.0,0.69,3.3,,58.0
2022-01-04 18:00:00,19.4,0.0,0.07,4.6,4.0,60.0
2022-01-04 19:00:00,19.1,0.0,0.0,3.1,,61.0
2022-01-04 20:00:00,19.1,0.0,0.0,3.9,,61.0
2022-01-04 21:00:00,18.6,0.0,0.0,3.2,2.0,65.0
2022-01-04 22:00:00,18.3,0.0,0.0,3.2,,69.0
2022-01-04 23:00:00,17.9,0.0,0.0,2.0,,71.0
2022-01-05 00:00:00,18.1,0.0,0.0,1.8,,71.0
2022-01-05 01:00:00,18.1,0.0,0.0,2.7,,71.0
2022-01-05 02:00:00,18.1,0.0,0.0,2.6,,71.0
2022-01-05 03:00:00,17.8,0.0,0.0,0.4,4.0,73.0
2022-01-05 04:00:00,18.9,0.0,0.0,2.7,,67.0
2022-01-05 05:00:00,18.8,0.0,0.0,4.3,,65.0
2022-01-05 06:00:00,18.5,0.0,0.0,3.6,4.0,66.0
2022-01-05 07:00:00,18.6,0.0,0.0,5.2,,69.0
2022-01-05 08:00:00,19.1,0.0,0.09,5.0,,71.0
2022-01-05 09:00:00,19.7,0.0,0.4,6.8,3.0,70.0
2022-01-05 10:00:00,20.0,0.0,0.74,6.5,,68.0
2022-01-05 11:00:00,20.6,0.0,0.95,7.6,,68.0
2022-01-05 12:00:00,21.1,0.0,0.96,5.2,4.0,69.0
2022-01-05 13:00:00,21.4,0.0,1.02,6.7,,66.0
2022-01-05 14:00:00,22.2,0.0,1.64,6.9,,60.0
2022-01-05 15:00:00,21.6,0.0,1.18,5.9,4.0,64.0
2022-01-05 16:00:00,21.2,0.0,0.33,5.7,,67.0
2022-01-05 17:00:00,21.1,0.0,0.15,5.7,,68.0
